WeekBeginning,WeekEnding,AgeGroup,Pathogen,RatePer100000
20170828,20170903,5-14 years,Rhinovirus,5.1
20170828,20170903,5-14 years,Seasonal coronavirus (Non-SARS-CoV-2),0
20170828,20170903,15-44 years,Adenovirus,0.3
20170828,20170903,15-44 years,Human metapneumovirus,0
20170828,20170903,15-44 years,Influenza - Type A (any subtype),0.1
20170828,20170903,15-44 years,Influenza - Type A (not subtyped),0
20170828,20170903,15-44 years,Influenza - Type A or B,0.1
20170828,20170903,15-44 years,Influenza - Type A(H1N1)pdm09,0
20170828,20170903,15-44 years,Influenza - Type A(H3),0.1
20170828,20170903,15-44 years,Influenza - Type B,0
20170828,20170903,15-44 years,Mycoplasma pneumoniae,0.1
20170828,20170903,15-44 years,Parainfluenza virus,0.1
20170828,20170903,15-44 years,Respiratory syncytial virus,0
20170828,20170903,15-44 years,Rhinovirus,1.3
20170828,20170903,15-44 years,Seasonal coronavirus (Non-SARS-CoV-2),0
20170828,20170903,45-64 years,Adenovirus,0.2
20170828,20170903,45-64 years,Human metapneumovirus,0
20170828,20170903,45-64 years,Influenza - Type A (any subtype),0.1
20170828,20170903,45-64 years,Influenza - Type A (not subtyped),0.1
20170828,20170903,45-64 years,Influenza - Type A or B,0.1
20170828,20170903,45-64 years,Influenza - Type A(H1N1)pdm09,0
20170828,20170903,45-64 years,Influenza - Type A(H3),0
20170828,20170903,45-64 years,Influenza - Type B,0
20170828,20170903,45-64 years,Mycoplasma pneumoniae,0
20170828,20170903,45-64 years,Parainfluenza virus,0.3
20170828,20170903,45-64 years,Respiratory syncytial virus,0
20170828,20170903,45-64 years,Rhinovirus,0.8
20170828,20170903,45-64 years,Seasonal coronavirus (Non-SARS-CoV-2),0.1
20170828,20170903,65-74 years,Adenovirus,0
20170828,20170903,65-74 years,Human metapneumovirus,0.2
20170828,20170903,65-74 years,Influenza - Type A (any subtype),0.2
20170828,20170903,65-74 years,Influenza - Type A (not subtyped),0
20170828,20170903,65-74 years,Influenza - Type A or B,0.2
20170828,20170903,65-74 years,Influenza - Type A(H1N1)pdm09,0
20170828,20170903,65-74 years,Influenza - Type A(H3),0.2
20170828,20170903,65-74 years,Influenza - Type B,0
20170828,20170903,65-74 years,Mycoplasma pneumoniae,0
20170828,20170903,65-74 years,Parainfluenza virus,0.2
20170828,20170903,65-74 years,Respiratory syncytial virus,0
20170828,20170903,65-74 years,Rhinovirus,1.3
20170828,20170903,65-74 years,Seasonal coronavirus (Non-SARS-CoV-2),0
20170828,20170903,75+ years,Adenovirus,0
20170828,20170903,75+ years,Human metapneumovirus,0
20170828,20170903,75+ years,Influenza - Type A (any subtype),1.1
20170828,20170903,75+ years,Influenza - Type A (not subtyped),0.2
20170828,20170903,75+ years,Influenza - Type A or B,1.1
20170828,20170903,75+ years,Influenza - Type A(H1N1)pdm09,0
20170828,20170903,75+ years,Influenza - Type A(H3),0.9
20170828,20170903,75+ years,Influenza - Type B,0
20170828,20170903,75+ years,Mycoplasma pneumoniae,0
20170828,20170903,75+ years,Parainfluenza virus,0.7
20170828,20170903,75+ years,Respiratory syncytial virus,0
20170828,20170903,75+ years,Rhinovirus,1.8
20170828,20170903,75+ years,Seasonal coronavirus (Non-SARS-CoV-2),0
20170904,20170910,<1 years,Adenovirus,3.6
20170904,20170910,<1 years,Human metapneumovirus,0
20170904,20170910,<1 years,Influenza - Type A (any subtype),0
20170904,20170910,<1 years,Influenza - Type A (not subtyped),0
20170904,20170910,<1 years,Influenza - Type A or B,0
20170904,20170910,<1 years,Influenza - Type A(H1N1)pdm09,0
20170904,20170910,<1 years,Influenza - Type A(H3),0
20170904,20170910,<1 years,Influenza - Type B,0
20170904,20170910,<1 years,Mycoplasma pneumoniae,0
20170904,20170910,<1 years,Parainfluenza virus,5.4
20170904,20170910,<1 years,Respiratory syncytial virus,5.4
20170904,20170910,<1 years,Rhinovirus,48.6
20170904,20170910,<1 years,Seasonal coronavirus (Non-SARS-CoV-2),0
20170904,20170910,1-4 years,Adenovirus,9.1
20170904,20170910,1-4 years,Human metapneumovirus,0.4
20170904,20170910,1-4 years,Influenza - Type A (any subtype),0
20170904,20170910,1-4 years,Influenza - Type A (not subtyped),0
20170904,20170910,1-4 years,Influenza - Type A or B,0.4
20170904,20170910,1-4 years,Influenza - Type A(H1N1)pdm09,0
20170904,20170910,1-4 years,Influenza - Type A(H3),0
20170904,20170910,1-4 years,Influenza - Type B,0.4
20170904,20170910,1-4 years,Mycoplasma pneumoniae,0.4
20170904,20170910,1-4 years,Parainfluenza virus,4.7
20170904,20170910,1-4 years,Respiratory syncytial virus,2.2
20170904,20170910,1-4 years,Rhinovirus,27.2
20170904,20170910,1-4 years,Seasonal coronavirus (Non-SARS-CoV-2),0.9
20170904,20170910,5-14 years,Adenovirus,0.9
20170904,20170910,5-14 years,Human metapneumovirus,0
20170904,20170910,5-14 years,Influenza - Type A (any subtype),0
20170904,20170910,5-14 years,Influenza - Type A (not subtyped),0
20170904,20170910,5-14 years,Influenza - Type A or B,0
20170904,20170910,5-14 years,Influenza - Type A(H1N1)pdm09,0
20170904,20170910,5-14 years,Influenza - Type A(H3),0
20170904,20170910,5-14 years,Influenza - Type B,0
20170904,20170910,5-14 years,Mycoplasma pneumoniae,0.2
20170904,20170910,5-14 years,Parainfluenza virus,0.3
20170904,20170910,5-14 years,Respiratory syncytial virus,0
20170904,20170910,5-14 years,Rhinovirus,6.1
20170904,20170910,5-14 years,Seasonal coronavirus (Non-SARS-CoV-2),0.2
20170904,20170910,15-44 years,Adenovirus,0.4
20170904,20170910,15-44 years,Human metapneumovirus,0
20170904,20170910,15-44 years,Influenza - Type A (any subtype),0.2
20170904,20170910,15-44 years,Influenza - Type A (not subtyped),0
20170904,20170910,15-44 years,Influenza - Type A or B,0.2
20170904,20170910,15-44 years,Influenza - Type A(H1N1)pdm09,0
20170904,20170910,15-44 years,Influenza - Type A(H3),0.1
20170904,20170910,15-44 years,Influenza - Type B,0
20170904,20170910,15-44 years,Mycoplasma pneumoniae,0.3
20170904,20170910,15-44 years,Parainfluenza virus,0.1
20170904,20170910,15-44 years,Respiratory syncytial virus,0
20170904,20170910,15-44 years,Rhinovirus,1.4
20170904,20170910,15-44 years,Seasonal coronavirus (Non-SARS-CoV-2),0
20170904,20170910,45-64 years,Adenovirus,0
20170904,20170910,45-64 years,Human metapneumovirus,0
20170904,20170910,45-64 years,Influenza - Type A (any subtype),0.1
20170904,20170910,45-64 years,Influenza - Type A (not subtyped),0
20170904,20170910,45-64 years,Influenza - Type A or B,0.3
20170904,20170910,45-64 years,Influenza - Type A(H1N1)pdm09,0
20170904,20170910,45-64 years,Influenza - Type A(H3),0.1
20170904,20170910,45-64 years,Influenza - Type B,0.1
20170904,20170910,45-64 years,Mycoplasma pneumoniae,0
20170904,20170910,45-64 years,Parainfluenza virus,0.1
20170904,20170910,45-64 years,Respiratory syncytial virus,0
20170904,20170910,45-64 years,Rhinovirus,0.9
20170904,20170910,45-64 years,Seasonal coronavirus (Non-SARS-CoV-2),0.3
20170904,20170910,65-74 years,Adenovirus,0.2
20170904,20170910,65-74 years,Human metapneumovirus,0
20170904,20170910,65-74 years,Influenza - Type A (any subtype),0.9
20170904,20170910,65-74 years,Influenza - Type A (not subtyped),0.4
20170904,20170910,65-74 years,Influenza - Type A or B,0.9
20170904,20170910,65-74 years,Influenza - Type A(H1N1)pdm09,0
20170904,20170910,65-74 years,Influenza - Type A(H3),0.5
20170904,20170910,65-74 years,Influenza - Type B,0
20170904,20170910,65-74 years,Mycoplasma pneumoniae,0
20170904,20170910,65-74 years,Parainfluenza virus,0
20170904,20170910,65-74 years,Respiratory syncytial virus,0
20170904,20170910,65-74 years,Rhinovirus,0.9
20170904,20170910,65-74 years,Seasonal coronavirus (Non-SARS-CoV-2),0.4
20170904,20170910,75+ years,Adenovirus,0
20170904,20170910,75+ years,Human metapneumovirus,0.2
20170904,20170910,75+ years,Influenza - Type A (any subtype),0.7
20170904,20170910,75+ years,Influenza - Type A (not subtyped),0.2
20170904,20170910,75+ years,Influenza - Type A or B,1.1
20170904,20170910,75+ years,Influenza - Type A(H1N1)pdm09,0.2
20170904,20170910,75+ years,Influenza - Type A(H3),0.2
20170904,20170910,75+ years,Influenza - Type B,0.5
20170904,20170910,75+ years,Mycoplasma pneumoniae,0.2
20170904,20170910,75+ years,Parainfluenza virus,1.4
20170904,20170910,75+ years,Respiratory syncytial virus,0.2
20170904,20170910,75+ years,Rhinovirus,2.3
20170904,20170910,75+ years,Seasonal coronavirus (Non-SARS-CoV-2),0
20170911,20170917,<1 years,Adenovirus,1.8
20170911,20170917,<1 years,Human metapneumovirus,0
20170911,20170917,<1 years,Influenza - Type A (any subtype),0
20170911,20170917,<1 years,Influenza - Type A (not subtyped),0
20170911,20170917,<1 years,Influenza - Type A or B,0
20170911,20170917,<1 years,Influenza - Type A(H1N1)pdm09,0
20170911,20170917,<1 years,Influenza - Type A(H3),0
20170911,20170917,<1 years,Influenza - Type B,0
20170911,20170917,<1 years,Mycoplasma pneumoniae,0
20170911,20170917,<1 years,Parainfluenza virus,5.4
20170911,20170917,<1 years,Respiratory syncytial virus,1.8
20170911,20170917,<1 years,Rhinovirus,27
20170911,20170917,<1 years,Seasonal coronavirus (Non-SARS-CoV-2),0
20170911,20170917,1-4 years,Adenovirus,5.6
20170911,20170917,1-4 years,Human metapneumovirus,0
20170911,20170917,1-4 years,Influenza - Type A (any subtype),0
20170911,20170917,1-4 years,Influenza - Type A (not subtyped),0
20170911,20170917,1-4 years,Influenza - Type A or B,0
20170911,20170917,1-4 years,Influenza - Type A(H1N1)pdm09,0
20170911,20170917,1-4 years,Influenza - Type A(H3),0
20170911,20170917,1-4 years,Influenza - Type B,0
20170911,20170917,1-4 years,Mycoplasma pneumoniae,0
20170911,20170917,1-4 years,Parainfluenza virus,6.5
20170911,20170917,1-4 years,Respiratory syncytial virus,3.9
20170911,20170917,1-4 years,Rhinovirus,28.5
20170911,20170917,1-4 years,Seasonal coronavirus (Non-SARS-CoV-2),0.4
20170911,20170917,5-14 years,Adenovirus,0.3
20170911,20170917,5-14 years,Human metapneumovirus,0
20170911,20170917,5-14 years,Influenza - Type A (any subtype),0.2
20170911,20170917,5-14 years,Influenza - Type A (not subtyped),0.2
20170911,20170917,5-14 years,Influenza - Type A or B,0.2
20170911,20170917,5-14 years,Influenza - Type A(H1N1)pdm09,0
20170911,20170917,5-14 years,Influenza - Type A(H3),0
20170911,20170917,5-14 years,Influenza - Type B,0
20170911,20170917,5-14 years,Mycoplasma pneumoniae,0.2
20170911,20170917,5-14 years,Parainfluenza virus,2.4
20170911,20170917,5-14 years,Respiratory syncytial virus,0
20170911,20170917,5-14 years,Rhinovirus,7
20170911,20170917,5-14 years,Seasonal coronavirus (Non-SARS-CoV-2),0
20170911,20170917,15-44 years,Adenovirus,0.1
20170911,20170917,15-44 years,Human metapneumovirus,0.1
20170911,20170917,15-44 years,Influenza - Type A (any subtype),0.1
20170911,20170917,15-44 years,Influenza - Type A (not subtyped),0
20170911,20170917,15-44 years,Influenza - Type A or B,0.1
20170911,20170917,15-44 years,Influenza - Type A(H1N1)pdm09,0
20170911,20170917,15-44 years,Influenza - Type A(H3),0.1
20170911,20170917,15-44 years,Influenza - Type B,0
20170911,20170917,15-44 years,Mycoplasma pneumoniae,0.1
20170911,20170917,15-44 years,Parainfluenza virus,0.1
20170911,20170917,15-44 years,Respiratory syncytial virus,0
20170911,20170917,15-44 years,Rhinovirus,1.9
20170911,20170917,15-44 years,Seasonal coronavirus (Non-SARS-CoV-2),0.1
20170911,20170917,45-64 years,Adenovirus,0.1
20170911,20170917,45-64 years,Human metapneumovirus,0
20170911,20170917,45-64 years,Influenza - Type A (any subtype),0.1
20170911,20170917,45-64 years,Influenza - Type A (not subtyped),0
20170911,20170917,45-64 years,Influenza - Type A or B,0.2
20170911,20170917,45-64 years,Influenza - Type A(H1N1)pdm09,0
20170911,20170917,45-64 years,Influenza - Type A(H3),0.1
20170911,20170917,45-64 years,Influenza - Type B,0.1
20170911,20170917,45-64 years,Mycoplasma pneumoniae,0.1
20170911,20170917,45-64 years,Parainfluenza virus,0.3
20170911,20170917,45-64 years,Respiratory syncytial virus,0
20170911,20170917,45-64 years,Rhinovirus,2.2
20170911,20170917,45-64 years,Seasonal coronavirus (Non-SARS-CoV-2),0.3
20170911,20170917,65-74 years,Adenovirus,0
20170911,20170917,65-74 years,Human metapneumovirus,0
20170911,20170917,65-74 years,Influenza - Type A (any subtype),0.2
20170911,20170917,65-74 years,Influenza - Type A (not subtyped),0
20170911,20170917,65-74 years,Influenza - Type A or B,0.2
20170911,20170917,65-74 years,Influenza - Type A(H1N1)pdm09,0.2
20170911,20170917,65-74 years,Influenza - Type A(H3),0
20170911,20170917,65-74 years,Influenza - Type B,0
20170911,20170917,65-74 years,Mycoplasma pneumoniae,0.2
20170911,20170917,65-74 years,Parainfluenza virus,0.4
20170911,20170917,65-74 years,Respiratory syncytial virus,0.2
20170911,20170917,65-74 years,Rhinovirus,1.8
20170911,20170917,65-74 years,Seasonal coronavirus (Non-SARS-CoV-2),0.2
20170911,20170917,75+ years,Adenovirus,0
20170911,20170917,75+ years,Human metapneumovirus,0.5
20170911,20170917,75+ years,Influenza - Type A (any subtype),1.1
20170911,20170917,75+ years,Influenza - Type A (not subtyped),0.9
20170911,20170917,75+ years,Influenza - Type A or B,1.1
20170911,20170917,75+ years,Influenza - Type A(H1N1)pdm09,0
20170911,20170917,75+ years,Influenza - Type A(H3),0.2
20170911,20170917,75+ years,Influenza - Type B,0
20170911,20170917,75+ years,Mycoplasma pneumoniae,0
20170911,20170917,75+ years,Parainfluenza virus,1.4
20170911,20170917,75+ years,Respiratory syncytial virus,0
20170911,20170917,75+ years,Rhinovirus,2.5
20170911,20170917,75+ years,Seasonal coronavirus (Non-SARS-CoV-2),0.2
20170918,20170924,<1 years,Adenovirus,3.6
20170918,20170924,<1 years,Human metapneumovirus,0
20170918,20170924,<1 years,Influenza - Type A (any subtype),0
20170918,20170924,<1 years,Influenza - Type A (not subtyped),0
20170918,20170924,<1 years,Influenza - Type A or B,0
20170918,20170924,<1 years,Influenza - Type A(H1N1)pdm09,0
20170918,20170924,<1 years,Influenza - Type A(H3),0
20170918,20170924,<1 years,Influenza - Type B,0
20170918,20170924,<1 years,Mycoplasma pneumoniae,0
20170918,20170924,<1 years,Parainfluenza virus,12.6
20170918,20170924,<1 years,Respiratory syncytial virus,7.2
20170918,20170924,<1 years,Rhinovirus,36
20170918,20170924,<1 years,Seasonal coronavirus (Non-SARS-CoV-2),0
20170918,20170924,1-4 years,Adenovirus,7.3
20170918,20170924,1-4 years,Human metapneumovirus,1.3
20170918,20170924,1-4 years,Influenza - Type A (any subtype),0.4
20170918,20170924,1-4 years,Influenza - Type A (not subtyped),0.4
20170918,20170924,1-4 years,Influenza - Type A or B,1.3
20170918,20170924,1-4 years,Influenza - Type A(H1N1)pdm09,0
20170918,20170924,1-4 years,Influenza - Type A(H3),0
20170918,20170924,1-4 years,Influenza - Type B,0.9
20170918,20170924,1-4 years,Mycoplasma pneumoniae,0.4
20170918,20170924,1-4 years,Parainfluenza virus,6.5
20170918,20170924,1-4 years,Respiratory syncytial virus,2.6
20170918,20170924,1-4 years,Rhinovirus,26.8
20170918,20170924,1-4 years,Seasonal coronavirus (Non-SARS-CoV-2),0.4
20170918,20170924,5-14 years,Adenovirus,0.9
20170918,20170924,5-14 years,Human metapneumovirus,0.2
20170918,20170924,5-14 years,Influenza - Type A (any subtype),0
20170918,20170924,5-14 years,Influenza - Type A (not subtyped),0
20170918,20170924,5-14 years,Influenza - Type A or B,0
20170918,20170924,5-14 years,Influenza - Type A(H1N1)pdm09,0
20170918,20170924,5-14 years,Influenza - Type A(H3),0
20170918,20170924,5-14 years,Influenza - Type B,0
20170918,20170924,5-14 years,Mycoplasma pneumoniae,0.9
20170918,20170924,5-14 years,Parainfluenza virus,1
20170918,20170924,5-14 years,Respiratory syncytial virus,0
20170918,20170924,5-14 years,Rhinovirus,3.5
20170918,20170924,5-14 years,Seasonal coronavirus (Non-SARS-CoV-2),0
20170918,20170924,15-44 years,Adenovirus,0.1
20170918,20170924,15-44 years,Human metapneumovirus,0
20170918,20170924,15-44 years,Influenza - Type A (any subtype),0.2
20170918,20170924,15-44 years,Influenza - Type A (not subtyped),0
20170918,20170924,15-44 years,Influenza - Type A or B,0.3
20170918,20170924,15-44 years,Influenza - Type A(H1N1)pdm09,0
20170918,20170924,15-44 years,Influenza - Type A(H3),0.2
20170918,20170924,15-44 years,Influenza - Type B,0.1
20170918,20170924,15-44 years,Mycoplasma pneumoniae,0.1
20170918,20170924,15-44 years,Parainfluenza virus,0.1
20170918,20170924,15-44 years,Respiratory syncytial virus,0
20170918,20170924,15-44 years,Rhinovirus,1.3
20170918,20170924,15-44 years,Seasonal coronavirus (Non-SARS-CoV-2),0.1
20170918,20170924,45-64 years,Adenovirus,0.1
20170918,20170924,45-64 years,Human metapneumovirus,0.1
20170918,20170924,45-64 years,Influenza - Type A (any subtype),0.1
20170918,20170924,45-64 years,Influenza - Type A (not subtyped),0
20170918,20170924,45-64 years,Influenza - Type A or B,0.1
20170918,20170924,45-64 years,Influenza - Type A(H1N1)pdm09,0
20170918,20170924,45-64 years,Influenza - Type A(H3),0.1
20170918,20170924,45-64 years,Influenza - Type B,0
20170918,20170924,45-64 years,Mycoplasma pneumoniae,0.1
20170918,20170924,45-64 years,Parainfluenza virus,0.3
20170918,20170924,45-64 years,Respiratory syncytial virus,0.1
20170918,20170924,45-64 years,Rhinovirus,0.8
20170918,20170924,45-64 years,Seasonal coronavirus (Non-SARS-CoV-2),0
20170918,20170924,65-74 years,Adenovirus,0
20170918,20170924,65-74 years,Human metapneumovirus,0.4
20170918,20170924,65-74 years,Influenza - Type A (any subtype),0.2
20170918,20170924,65-74 years,Influenza - Type A (not subtyped),0
20170918,20170924,65-74 years,Influenza - Type A or B,0.2
20170918,20170924,65-74 years,Influenza - Type A(H1N1)pdm09,0
20170918,20170924,65-74 years,Influenza - Type A(H3),0.2
20170918,20170924,65-74 years,Influenza - Type B,0
20170918,20170924,65-74 years,Mycoplasma pneumoniae,0.4
20170918,20170924,65-74 years,Parainfluenza virus,0.4
20170918,20170924,65-74 years,Respiratory syncytial virus,0.2
20170918,20170924,65-74 years,Rhinovirus,2.3
20170918,20170924,65-74 years,Seasonal coronavirus (Non-SARS-CoV-2),0.5
20170918,20170924,75+ years,Adenovirus,0
20170918,20170924,75+ years,Human metapneumovirus,0
20170918,20170924,75+ years,Influenza - Type A (any subtype),1.1
20170918,20170924,75+ years,Influenza - Type A (not subtyped),0.2
20170918,20170924,75+ years,Influenza - Type A or B,1.1
20170918,20170924,75+ years,Influenza - Type A(H1N1)pdm09,0
20170918,20170924,75+ years,Influenza - Type A(H3),0.9
20170918,20170924,75+ years,Influenza - Type B,0
20170918,20170924,75+ years,Mycoplasma pneumoniae,0
20170918,20170924,75+ years,Parainfluenza virus,1.1
20170918,20170924,75+ years,Respiratory syncytial virus,0.2
20170918,20170924,75+ years,Rhinovirus,2
20170918,20170924,75+ years,Seasonal coronavirus (Non-SARS-CoV-2),0.7
20170925,20171001,<1 years,Adenovirus,3.6
20170925,20171001,<1 years,Human metapneumovirus,0
20170925,20171001,<1 years,Influenza - Type A (any subtype),1.8
20170925,20171001,<1 years,Influenza - Type A (not subtyped),1.8
20170925,20171001,<1 years,Influenza - Type A or B,1.8
20170925,20171001,<1 years,Influenza - Type A(H1N1)pdm09,0
20170925,20171001,<1 years,Influenza - Type A(H3),0
20170925,20171001,<1 years,Influenza - Type B,0
20170925,20171001,<1 years,Mycoplasma pneumoniae,1.8
20170925,20171001,<1 years,Parainfluenza virus,3.6
20170925,20171001,<1 years,Respiratory syncytial virus,7.2
20170925,20171001,<1 years,Rhinovirus,27
20170925,20171001,<1 years,Seasonal coronavirus (Non-SARS-CoV-2),1.8
20170925,20171001,1-4 years,Adenovirus,6.5
20170925,20171001,1-4 years,Human metapneumovirus,1.3
20170925,20171001,1-4 years,Influenza - Type A (any subtype),0
20170925,20171001,1-4 years,Influenza - Type A (not subtyped),0
20170925,20171001,1-4 years,Influenza - Type A or B,0
20170925,20171001,1-4 years,Influenza - Type A(H1N1)pdm09,0
20170925,20171001,1-4 years,Influenza - Type A(H3),0
20170925,20171001,1-4 years,Influenza - Type B,0
20170925,20171001,1-4 years,Mycoplasma pneumoniae,0.9
20170925,20171001,1-4 years,Parainfluenza virus,5.2
20170925,20171001,1-4 years,Respiratory syncytial virus,5.2
20170925,20171001,1-4 years,Rhinovirus,13.8
20170925,20171001,1-4 years,Seasonal coronavirus (Non-SARS-CoV-2),0
20170925,20171001,5-14 years,Adenovirus,0.5
20170925,20171001,5-14 years,Human metapneumovirus,0
20170925,20171001,5-14 years,Influenza - Type A (any subtype),0.2
20170925,20171001,5-14 years,Influenza - Type A (not subtyped),0
20170925,20171001,5-14 years,Influenza - Type A or B,0.2
20170925,20171001,5-14 years,Influenza - Type A(H1N1)pdm09,0
20170925,20171001,5-14 years,Influenza - Type A(H3),0.2
20170925,20171001,5-14 years,Influenza - Type B,0
20170925,20171001,5-14 years,Mycoplasma pneumoniae,0.3
20170925,20171001,5-14 years,Parainfluenza virus,1.4
20170925,20171001,5-14 years,Respiratory syncytial virus,0
20170925,20171001,5-14 years,Rhinovirus,2.4
20170925,20171001,5-14 years,Seasonal coronavirus (Non-SARS-CoV-2),0
20170925,20171001,15-44 years,Adenovirus,0.2
20170925,20171001,15-44 years,Human metapneumovirus,0
20170925,20171001,15-44 years,Influenza - Type A (any subtype),0
20170925,20171001,15-44 years,Influenza - Type A (not subtyped),0
20170925,20171001,15-44 years,Influenza - Type A or B,0.1
20170925,20171001,15-44 years,Influenza - Type A(H1N1)pdm09,0
20170925,20171001,15-44 years,Influenza - Type A(H3),0
20170925,20171001,15-44 years,Influenza - Type B,0.1
20170925,20171001,15-44 years,Mycoplasma pneumoniae,0.1
20170925,20171001,15-44 years,Parainfluenza virus,0.1
20170925,20171001,15-44 years,Respiratory syncytial virus,0
20170925,20171001,15-44 years,Rhinovirus,1.1
20170925,20171001,15-44 years,Seasonal coronavirus (Non-SARS-CoV-2),0
20170925,20171001,45-64 years,Adenovirus,0
20170925,20171001,45-64 years,Human metapneumovirus,0
20170925,20171001,45-64 years,Influenza - Type A (any subtype),0.3
20170925,20171001,45-64 years,Influenza - Type A (not subtyped),0.2
20170925,20171001,45-64 years,Influenza - Type A or B,0.3
20170925,20171001,45-64 years,Influenza - Type A(H1N1)pdm09,0
20170925,20171001,45-64 years,Influenza - Type A(H3),0.1
20170925,20171001,45-64 years,Influenza - Type B,0
20170925,20171001,45-64 years,Mycoplasma pneumoniae,0.1
20170925,20171001,45-64 years,Parainfluenza virus,0.2
20170925,20171001,45-64 years,Respiratory syncytial virus,0
20170925,20171001,45-64 years,Rhinovirus,1.5
20170925,20171001,45-64 years,Seasonal coronavirus (Non-SARS-CoV-2),0.1
20170925,20171001,65-74 years,Adenovirus,0.4
20170925,20171001,65-74 years,Human metapneumovirus,0
20170925,20171001,65-74 years,Influenza - Type A (any subtype),0.5
20170925,20171001,65-74 years,Influenza - Type A (not subtyped),0.5
20170925,20171001,65-74 years,Influenza - Type A or B,0.5
20170925,20171001,65-74 years,Influenza - Type A(H1N1)pdm09,0
20170925,20171001,65-74 years,Influenza - Type A(H3),0
20170925,20171001,65-74 years,Influenza - Type B,0
20170925,20171001,65-74 years,Mycoplasma pneumoniae,0.2
20170925,20171001,65-74 years,Parainfluenza virus,0.9
20170925,20171001,65-74 years,Respiratory syncytial virus,0
20170925,20171001,65-74 years,Rhinovirus,2
20170925,20171001,65-74 years,Seasonal coronavirus (Non-SARS-CoV-2),0.2
20170925,20171001,75+ years,Adenovirus,0.2
20170925,20171001,75+ years,Human metapneumovirus,0.2
20170925,20171001,75+ years,Influenza - Type A (any subtype),0.2
20170925,20171001,75+ years,Influenza - Type A (not subtyped),0.2
20170925,20171001,75+ years,Influenza - Type A or B,0.2
20170925,20171001,75+ years,Influenza - Type A(H1N1)pdm09,0
20170925,20171001,75+ years,Influenza - Type A(H3),0
20170925,20171001,75+ years,Influenza - Type B,0
20170925,20171001,75+ years,Mycoplasma pneumoniae,0.5
20170925,20171001,75+ years,Parainfluenza virus,0.5
20170925,20171001,75+ years,Respiratory syncytial virus,0
20170925,20171001,75+ years,Rhinovirus,2.5
20170925,20171001,75+ years,Seasonal coronavirus (Non-SARS-CoV-2),0.2
20171002,20171008,<1 years,Adenovirus,3.7
20171002,20171008,<1 years,Human metapneumovirus,0
20171002,20171008,<1 years,Influenza - Type A (any subtype),0
20171002,20171008,<1 years,Influenza - Type A (not subtyped),0
20171002,20171008,<1 years,Influenza - Type A or B,0
20171002,20171008,<1 years,Influenza - Type A(H1N1)pdm09,0
20171002,20171008,<1 years,Influenza - Type A(H3),0
20171002,20171008,<1 years,Influenza - Type B,0
20171002,20171008,<1 years,Mycoplasma pneumoniae,1.9
20171002,20171008,<1 years,Parainfluenza virus,20.5
20171002,20171008,<1 years,Respiratory syncytial virus,16.8
20171002,20171008,<1 years,Rhinovirus,37.3
20171002,20171008,<1 years,Seasonal coronavirus (Non-SARS-CoV-2),0
20171002,20171008,1-4 years,Adenovirus,10.1
20171002,20171008,1-4 years,Human metapneumovirus,2.6
20171002,20171008,1-4 years,Influenza - Type A (any subtype),0.4
20171002,20171008,1-4 years,Influenza - Type A (not subtyped),0
20171002,20171008,1-4 years,Influenza - Type A or B,0.4
20171002,20171008,1-4 years,Influenza - Type A(H1N1)pdm09,0
20171002,20171008,1-4 years,Influenza - Type A(H3),0.4
20171002,20171008,1-4 years,Influenza - Type B,0
20171002,20171008,1-4 years,Mycoplasma pneumoniae,0.4
20171002,20171008,1-4 years,Parainfluenza virus,9.2
20171002,20171008,1-4 years,Respiratory syncytial virus,4.4
20171002,20171008,1-4 years,Rhinovirus,38.1
20171002,20171008,1-4 years,Seasonal coronavirus (Non-SARS-CoV-2),0.4
20171002,20171008,5-14 years,Adenovirus,1.9
20171002,20171008,5-14 years,Human metapneumovirus,0.2
20171002,20171008,5-14 years,Influenza - Type A (any subtype),0.5
20171002,20171008,5-14 years,Influenza - Type A (not subtyped),0.2
20171002,20171008,5-14 years,Influenza - Type A or B,0.5
20171002,20171008,5-14 years,Influenza - Type A(H1N1)pdm09,0.2
20171002,20171008,5-14 years,Influenza - Type A(H3),0.2
20171002,20171008,5-14 years,Influenza - Type B,0.2
20171002,20171008,5-14 years,Mycoplasma pneumoniae,0.7
20171002,20171008,5-14 years,Parainfluenza virus,1.2
20171002,20171008,5-14 years,Respiratory syncytial virus,0.7
20171002,20171008,5-14 years,Rhinovirus,5
20171002,20171008,5-14 years,Seasonal coronavirus (Non-SARS-CoV-2),0.2
20171002,20171008,15-44 years,Adenovirus,0.3
20171002,20171008,15-44 years,Human metapneumovirus,0.1
20171002,20171008,15-44 years,Influenza - Type A (any subtype),0
20171002,20171008,15-44 years,Influenza - Type A (not subtyped),0
20171002,20171008,15-44 years,Influenza - Type A or B,0.1
20171002,20171008,15-44 years,Influenza - Type A(H1N1)pdm09,0
20171002,20171008,15-44 years,Influenza - Type A(H3),0
20171002,20171008,15-44 years,Influenza - Type B,0.1
20171002,20171008,15-44 years,Mycoplasma pneumoniae,0.1
20171002,20171008,15-44 years,Parainfluenza virus,0.3
20171002,20171008,15-44 years,Respiratory syncytial virus,0
20171002,20171008,15-44 years,Rhinovirus,1.1
20171002,20171008,15-44 years,Seasonal coronavirus (Non-SARS-CoV-2),0
20171002,20171008,45-64 years,Adenovirus,0.2
20171002,20171008,45-64 years,Human metapneumovirus,0.2
